	Gene Name	Gene Start (bp)	Gene End (bp)	length
10683	AT5G44500	17927443	17929835	2392
10684	AT5G44520	17934287	17936554	2267
10685	AT5G44530	17937622	17941292	3670
10686	AT5G44540	17941287	17941646	359
10687	AT5G44563	17949328	17950254	926
10688	AT5G44565	17951442	17953180	1738
10689	AT5G44566	17963604	17963783	179
10690	AT5G44567	17953282	17954554	1272
10691	AT5G44568	17961019	17962276	1257
10692	AT5G44570	17964416	17966496	2080
10693	AT5G44572	17968092	17970342	2250
10694	AT5G44580	17979149	17980550	1401
10695	AT5G44582	17980850	17981958	1108
10696	AT5G44585	17984527	17986431	1904
10697	AT5G44600	17989793	17991717	1924
10698	AT5G44630	18002996	18005849	2853
10699	AT5G44660	18015522	18017307	1785
10700	AT5G44680	18023985	18026077	2092
10701	AT5G44690	18029338	18032293	2955
10702	AT5G44710	18040910	18042681	1771
10703	AT5G44720	18042935	18045514	2579
10704	AT5G44760	18060586	18062764	2178
10705	AT5G44770	18065012	18066696	1684
10706	AT5G44820	18095614	18097611	1997
10707	AT5G44840	18104769	18107140	2371
10708	AT5G44850	18108304	18109593	1289
10709	AT5G44860	18110018	18111813	1795
10710	AT5G44910	18137349	18138757	1408
10711	AT5G44930	18138775	18142159	3384
10712	AT5G44940	18149369	18150892	1523
10713	AT5G44973	18157610	18158264	654
10714	AT5G44980	18160204	18162264	2060
10715	AT5G44990	18163128	18164813	1685
10716	AT5G45000	18165336	18167533	2197
10717	AT5G45020	18168147	18170775	2628
10718	AT5G45030	18172410	18176207	3797
10719	AT5G45050	18176894	18181973	5079
10720	AT5G45060	18182038	18187081	5043
10721	AT5G45113	18231908	18233521	1613
10722	AT5G45140	18247149	18258197	11048
10723	AT5G45130	18244171	18246450	2279
10724	AT5G45160	18264616	18270296	5680
10725	AT5G45170	18270286	18273263	2977
10726	AT5G45180	18274179	18276586	2407
10727	AT5G45190	18277080	18281909	4829
10728	AT5G45200	18283663	18290478	6815
10729	AT5G45210	18295437	18298642	3205
10730	AT5G45220	18298774	18301166	2392
10731	AT5G45230	18302147	18308303	6156
10732	AT5G45240	18313706	18319432	5726
10733	AT5G45275	18334205	18337396	3191
10734	AT5G45277	18341634	18341840	206
10735	AT5G45280	18345534	18349695	4161
10736	AT5G45290	18349697	18352637	2940
10737	AT5G45310	18359275	18361213	1938
10738	AT5G45320	18362111	18363181	1070
10739	AT5G45350	18381799	18384069	2270
10740	AT5G45360	18384489	18386871	2382
10741	AT5G45410	18401908	18403947	2039
10742	AT5G45400	18398832	18402284	3452
10743	AT5G45430	18407150	18411977	4827
10744	AT5G45440	18412059	18413617	1558
10745	AT5G45450	18414991	18415811	820
10746	AT5G45455	18416159	18416714	555
10747	AT5G45460	18416614	18419532	2918
10748	AT5G45470	18421985	18425042	3057
10749	AT5G45480	18426104	18429090	2986
10750	AT5G45490	18429047	18432430	3383
10751	AT5G45500	18432446	18435524	3078
10752	AT5G45510	18444607	18449446	4839
10753	AT5G45520	18449476	18453683	4207
10754	AT5G45530	18454188	18457303	3115
10755	AT5G45540	18457870	18460914	3044
10756	AT5G45560	18465283	18470944	5661
10757	AT5G45570	18471498	18475574	4076
10758	AT5G45573	18475758	18476576	818
10759	AT5G45580	18480809	18483044	2235
10760	AT5G45590	18484179	18486340	2161
10761	AT5G45620	18501486	18504144	2658
10762	AT5G45640	18507489	18511616	4127
10763	AT5G45650	18513127	18518972	5845
10764	AT5G45660	18524889	18527040	2151
10765	AT5G45670	18528267	18530501	2234
10766	AT5G45690	18534999	18536316	1317
10767	AT5G45700	18537239	18538418	1179
10768	AT5G45720	18542973	18547341	4368
10769	AT5G45710	18540665	18542864	2199
10770	AT5G45730	18551809	18553907	2098
10771	AT5G45740	18556539	18558406	1867
10772	AT5G45760	18561033	18563202	2169
10773	AT5G45780	18566798	18569906	3108
10774	AT5G45790	18572301	18574011	1710
10775	AT5G45840	18593917	18597907	3990
10776	AT5G45830	18589418	18591506	2088
10777	AT5G45820	18586870	18588792	1922
10778	AT5G45850	18599746	18601661	1915
10779	AT5G45910	18620299	18622301	2002
10780	AT5G45900	18615175	18618597	3422
10781	AT5G45920	18622647	18625697	3050
10782	AT5G45950	18634041	18636720	2679
10783	AT5G45960	18636928	18640401	3473
10784	AT5G45990	18651265	18654075	2810
10785	AT5G46000	18654196	18656376	2180
10786	AT5G46010	18660539	18661268	729
10787	AT5G46020	18662805	18664908	2103
10788	AT5G46025	18665255	18665596	341
10789	AT5G46030	18670051	18671461	1410
10790	AT5G46040	18671397	18673551	2154
10791	AT5G46060	18681326	18682708	1382
10792	AT5G46070	18683319	18688822	5503
10793	AT5G46080	18689361	18690857	1496
10794	AT5G46090	18693485	18694129	644
10795	AT5G46100	18694316	18695856	1540
10796	AT5G46115	18701246	18701852	606
10797	AT5G46130	18702914	18704484	1570
10798	AT5G46140	18704997	18706708	1711
10799	AT5G46150	18707546	18710722	3176
10800	AT5G46160	18710851	18712559	1708
10801	AT5G46170	18714864	18717031	2167
10802	AT5G46190	18721752	18726249	4497
10803	AT5G46200	18727802	18730331	2529
10804	AT5G46220	18738697	18742126	3429
10805	AT5G46230	18742272	18743077	805
10806	AT5G46260	18758699	18763503	4804
10807	AT5G46270	18763972	18769090	5118
10808	AT5G46295	18779790	18780205	415
10809	AT5G46297	18781172	18781838	666
10810	AT5G46300	18783585	18784786	1201
10811	AT5G46310	18785672	18786956	1284
10812	AT5G46320	18788086	18788910	824
10813	AT5G46380	18813088	18816431	3343
10814	AT5G46390	18816585	18819462	2877
10815	AT5G46395	18819464	18819755	291
10816	AT5G46420	18829436	18833060	3624
10817	AT5G46430	18833240	18834632	1392
10818	AT5G46440	18834643	18835162	519
10819	AT5G46450	18835605	18840058	4453
10820	AT5G46460	18840196	18842479	2283
10821	AT5G46490	18850645	18853896	3251
10822	AT5G46500	18855955	18858552	2597
10823	AT5G46510	18860234	18867015	6781
10824	AT5G46520	18867616	18872494	4878
10825	AT5G46550	18884218	18886960	2742
10826	AT5G46560	18887987	18890517	2530
10827	AT5G46580	18897445	18899646	2201
10828	AT5G46600	18907639	18910838	3199
10829	AT5G46610	18912667	18915779	3112
10830	AT5G46620	18917570	18919442	1872
10831	AT5G46630	18920334	18923551	3217
10832	AT5G46640	18924429	18926984	2555
10833	AT5G46650	18930246	18931312	1066
10834	AT5G46660	18932181	18933391	1210
10835	AT5G46670	18938847	18940166	1319
10836	AT5G46720	18959094	18959852	758
10837	AT5G46730	18963977	18965222	1245
10838	AT5G46750	18969736	18971981	2245
10839	AT5G46770	18977399	18978246	847
10840	AT5G46780	18978953	18980183	1230
10841	AT5G46810	18991164	18993376	2212
10842	AT5G46820	18993633	18996672	3039
10843	AT5G46825	19002045	19002499	454
10844	AT5G46840	19005547	19007770	2223
10845	AT5G46850	19010608	19012038	1430
10846	AT5G46870	19015233	19017247	2014
10847	AT5G46871	19017942	19018710	768
10848	AT5G46873	19021183	19021594	411
10849	AT5G46874	19022383	19022699	316
10850	AT5G46880	19030844	19035959	5115
10851	AT5G46877	19025860	19026294	434
10852	AT5G46890	19036296	19036938	642
10853	AT5G46900	19039701	19040456	755
10854	AT5G46910	19046339	19051379	5040
10855	AT5G46915	19051417	19053200	1783
10856	AT5G46920	19053472	19056073	2601
10857	AT5G46930	19056505	19057243	738
10858	AT5G46950	19059472	19060121	649
10859	AT5G46960	19062146	19062814	668
10860	AT5G47010	19071824	19079453	7629
10861	AT5G47020	19081458	19090104	8646
10862	AT5G47080	19124563	19126694	2131
10863	AT5G47030	19090150	19092416	2266
10864	AT5G47060	19116719	19118744	2025
10865	AT5G47070	19118465	19121103	2638
10866	AT5G47090	19127187	19129605	2418
10867	AT5G47130	19138840	19142284	3444
10868	AT5G47150	19149938	19151913	1975
10869	AT5G47160	19155976	19158249	2273
10870	AT5G47170	19158351	19159091	740
10871	AT5G47180	19161009	19163980	2971
10872	AT5G47190	19164184	19166135	1951
10873	AT5G47210	19168941	19171263	2322
10874	AT5G47300	19198125	19199375	1250
10875	AT5G47229	19179694	19179849	155
10876	AT5G47250	19185698	19188885	3187
10877	AT5G47260	19189411	19192516	3105
10878	AT5G47290	19197040	19197431	391
10879	AT5G47310	19200731	19202972	2241
10880	AT5G47330	19206829	19208998	2169
10881	AT5G47340	19209507	19211134	1627
10882	AT5G47350	19212665	19214453	1788
10883	AT5G47360	19214445	19215878	1433
10884	AT5G47390	19226769	19228895	2126
10885	AT5G47400	19229162	19232743	3581
10886	AT5G47420	19232784	19235066	2282
10887	AT5G47430	19235555	19241263	5708
10888	AT5G47435	19241672	19243988	2316
10889	AT5G47440	19243531	19245648	2117
10890	AT5G47455	19250659	19252491	1832
10891	AT5G47480	19257027	19263425	6398
10892	AT5G47490	19263826	19270899	7073
10893	AT5G47510	19274853	19277383	2530
10894	AT5G47540	19283029	19285758	2729
10895	AT5G47570	19292587	19294800	2213
10896	AT5G47590	19297614	19299174	1560
10897	AT5G47620	19302190	19304950	2760
10898	AT5G47580	19294813	19297424	2611
10899	AT5G47635	19307048	19308009	961
10900	AT5G47660	19312747	19314893	2146
10901	AT5G47690	19317668	19327431	9763
10902	AT5G47700	19327566	19328986	1420
10903	AT5G47710	19329544	19331477	1933
10904	AT5G47730	19334250	19337148	2898
10905	AT5G47740	19338511	19339775	1264
10906	AT5G47790	19351292	19353495	2203
10907	AT5G47800	19353532	19356448	2916
10908	AT5G47820	19366133	19372815	6682
10909	AT5G47830	19372821	19374693	1872
10910	AT5G47860	19381519	19384422	2903
10911	AT5G47890	19388704	19390937	2233
10912	AT5G47900	19392166	19395287	3121
10913	AT5G47910	19397041	19402061	5020
10914	AT5G47920	19403171	19404147	976
10915	AT5G47930	19406080	19407449	1369
10916	AT5G47940	19409242	19412077	2835
10917	AT5G47970	19422203	19425872	3669
10918	AT5G47980	19428888	19430517	1629
10919	AT5G48020	19462516	19464971	2455
10920	AT5G48040	19469992	19472445	2453
10921	AT5G48050	19472446	19473838	1392
10922	AT5G48060	19475296	19479066	3770
10923	AT5G48120	19507397	19514895	7498
10924	AT5G48110	19500988	19504534	3546
10925	AT5G48130	19516102	19518513	2411
10926	AT5G48140	19518666	19520528	1862
10927	AT5G48175	19539145	19540623	1478
10928	AT5G48190	19542778	19544429	1651
10929	AT5G48200	19545255	19547270	2015
10930	AT5G48205	19546007	19547787	1780
10931	AT5G48220	19549676	19552267	2591
10932	AT5G48240	19559201	19561374	2173
10933	AT5G48270	19564422	19565968	1546
10934	AT5G48280	19567064	19567688	624
10935	AT5G48310	19574780	19580469	5689
10936	AT5G48320	19581697	19584772	3075
10937	AT5G48335	19587872	19589606	1734
10938	AT5G48340	19590309	19593075	2766
10939	AT5G48350	19593217	19594441	1224
10940	AT5G48360	19595536	19598492	2956
10941	AT5G48370	19598486	19600708	2222
10942	AT5G48385	19608490	19612007	3517
10943	AT5G48420	19626362	19626790	428
10944	AT5G48430	19627634	19629167	1533
10945	AT5G48440	19629658	19632775	3117
10946	AT5G48460	19636045	19639529	3484
10947	AT5G48470	19641744	19644362	2618
10948	AT5G48480	19644539	19646840	2301
10949	AT5G48490	19647784	19648362	578
10950	AT5G48500	19652980	19654355	1375
10951	AT5G48510	19658080	19658938	858
10952	AT5G48515	19659857	19660201	344
10953	AT5G48530	19666790	19668830	2040
10954	AT5G48540	19668964	19669920	956
10955	AT5G48545	19675452	19678194	2742
10956	AT5G48550	19678825	19680560	1735
10957	AT5G48560	19683809	19687187	3378
10958	AT5G48570	19690461	19693845	3384
10959	AT5G48575	19694150	19695065	915
10960	AT5G48595	19700640	19701022	382
10961	AT5G48605	19710163	19710599	436
10962	AT5G48610	19711541	19716059	4518
10963	AT5G48620	19716104	19721477	5373
10964	AT5G48630	19721465	19723307	1842
10965	AT5G48640	19723388	19725748	2360
10966	AT5G48650	19726672	19729764	3092
10967	AT5G48655	19730380	19733156	2776
10968	AT5G48657	19733882	19735726	1844
10969	AT5G48660	19736540	19738538	1998
10970	AT5G48680	19744404	19746192	1788
10971	AT5G48690	19747026	19749061	2035
10972	AT5G48700	19749494	19750013	519
10973	AT5G48710	19755065	19756051	986
10974	AT5G48720	19758881	19762015	3134
10975	AT5G48730	19763110	19765272	2162
10976	AT5G48740	19765195	19769369	4174
10977	AT5G48750	19770052	19770819	767
10978	AT5G48760	19771099	19772789	1690
10979	AT5G48770	19773117	19777242	4125
10980	AT5G48780	19777453	19779815	2362
10981	AT5G48790	19779860	19782066	2206
10982	AT5G48800	19786465	19789129	2664
10983	AT5G48830	19799953	19803098	3145
10984	AT5G48860	19811651	19812865	1214
10985	AT5G48880	19814395	19817955	3560
10986	AT5G48900	19825078	19829140	4062
10987	AT5G48930	19836299	19838235	1936
10988	AT5G48940	19839663	19843859	4196
10989	AT5G48960	19849437	19853598	4161
10990	AT5G48970	19856830	19859847	3017
10991	AT5G48980	19860708	19862052	1344
10992	AT5G48990	19862235	19863975	1740
10993	AT5G49040	19882676	19883251	575
10994	AT5G49050	19883929	19884381	452
10995	AT5G49060	19886308	19888571	2263
10996	AT5G49100	19897370	19899301	1931
10997	AT5G49110	19900150	19906171	6021
10998	AT5G49120	19908614	19909452	838
10999	AT5G49130	19915872	19917967	2095
11000	AT5G49140	19918971	19923415	4444
11001	AT5G49170	19938540	19939797	1257
11002	AT5G49180	19940462	19943015	2553
11003	AT5G49200	19947689	19949175	1486
11004	AT5G49210	19949691	19951713	2022
11005	AT5G49215	19953459	19956145	2686
11006	AT5G49220	19956218	19958861	2643
11007	AT5G49280	19976222	19977620	1398
11008	AT5G49305	19988464	19991580	3116
11009	AT5G49320	19994994	19996357	1363
11010	AT5G49390	20023442	20030387	6945
11011	AT5G49400	20030652	20032283	1631
11012	AT5G49410	20032287	20034020	1733
11013	AT5G49430	20036988	20046702	9714
11014	AT5G49440	20048239	20049776	1537
11015	AT5G49470	20063331	20068793	5462
11016	AT5G49500	20077304	20080329	3025
11017	AT5G49525	20096932	20097551	619
11018	AT5G49540	20104481	20106278	1797
11019	AT5G49555	20107229	20110638	3409
11020	AT5G49560	20110832	20111806	974
11021	AT5G49580	20123563	20127509	3946
11022	AT5G49640	20151163	20151842	679
11023	AT5G49645	20151163	20151882	719
11024	AT5G49665	20166891	20169923	3032
11025	AT5G49680	20176080	20188567	12487
11026	AT5G49690	20189655	20191604	1949
11027	AT5G49700	20192159	20193800	1641
11028	AT5G49710	20195303	20197419	2116
11029	AT5G49750	20210878	20213734	2856
11030	AT5G49760	20216332	20221382	5050
11031	AT5G49780	20228645	20233095	4450
11032	AT5G49800	20234509	20236329	1820
11033	AT5G49840	20255173	20259982	4809
11034	AT5G49850	20259440	20262585	3145
11035	AT5G49860	20264567	20265334	767
11036	AT5G49870	20270101	20272895	2794
11037	AT5G49900	20296518	20302575	6057
11038	AT5G49940	20315390	20317401	2011
11039	AT5G49920	20306409	20307943	1534
11040	AT5G49945	20317405	20319830	2425
11041	AT5G49950	20319733	20323649	3916
11042	AT5G49960	20323785	20327881	4096
11043	AT5G49990	20337586	20342035	4449
11044	AT5G50000	20342505	20345302	2797
11045	AT5G50010	20348615	20350830	2215
11046	AT5G50020	20351157	20354436	3279
11047	AT5G50030	20354589	20355706	1117
11048	AT5G50090	20369657	20371391	1734
11049	AT5G50110	20373491	20376252	2761
11050	AT5G50115	20379489	20381036	1547
11051	AT5G50130	20389915	20393306	3391
11052	AT5G50140	20395856	20398197	2341
11053	AT5G50150	20402217	20406731	4514
11054	AT5G50160	20415764	20418847	3083
11055	AT5G50170	20420951	20425604	4653
11056	AT5G50175	20427749	20428719	970
11057	AT5G50180	20430453	20433146	2693
11058	AT5G50230	20448310	20451062	2752
11059	AT5G50290	20461777	20464616	2839
11060	AT5G50310	20474457	20479478	5021
11061	AT5G50330	20485134	20488702	3568
11062	AT5G50335	20489033	20489727	694
11063	AT5G50340	20491393	20496589	5196
11064	AT5G50345	20497401	20497868	467
11065	AT5G50420	20530200	20532856	2656
11066	AT5G50423	20532860	20533471	611
11067	AT5G50443	20540335	20541211	876
11068	AT5G50460	20551132	20552670	1538
11069	AT5G50500	20562150	20562557	407
11070	AT5G50510	20567386	20568075	689
11071	AT5G50520	20569533	20571656	2123
11072	AT5G50530	20571681	20575250	3569
11073	AT5G50540	20574577	20575538	961
11074	AT5G50550	20576733	20579103	2370
11075	AT5G50560	20579027	20579633	606
11076	AT5G50562	20580269	20580442	173
11077	AT5G50565	20580113	20582178	2065
11078	AT5G50600	20589702	20591937	2235
11079	AT5G50610	20593600	20594379	779
11080	AT5G50620	20600727	20601416	689
11081	AT5G50630	20602874	20604997	2123
11082	AT5G50640	20605218	20608594	3376
11083	AT5G50650	20610075	20612445	2370
11084	AT5G50660	20612369	20612975	606
11085	AT5G50665	20613455	20615520	2065
11086	AT5G50710	20626942	20627720	778
11087	AT5G50740	20635826	20638104	2278
11088	AT5G50760	20644525	20645698	1173
11089	AT5G50780	20650086	20655401	5315
11090	AT5G50830	20683262	20684890	1628
11091	AT5G50840	20685772	20688942	3170
11092	AT5G50860	20693455	20697233	3778
11093	AT5G50890	20702453	20704418	1965
11094	AT5G50900	20704724	20706842	2118
11095	AT5G50910	20708409	20709282	873
11096	AT5G50915	20710103	20712473	2370
11097	AT5G50930	20722069	20724481	2412
11098	AT5G50940	20724578	20726479	1901
11099	AT5G50970	20736227	20739358	3131
11100	AT5G50990	20739419	20741603	2184
11101	AT5G51000	20742533	20743669	1136
11102	AT5G51010	20744553	20745703	1150
11103	AT5G51060	20757199	20762461	5262
11104	AT5G51080	20768795	20771085	2290
11105	AT5G51090	20772237	20773194	957
11106	AT5G51105	20777574	20778118	544
11107	AT5G51110	20777501	20779488	1987
11108	AT5G51130	20781658	20784071	2413
11109	AT5G51140	20783931	20786843	2912
11110	AT5G51150	20788913	20791940	3027
11111	AT5G51190	20800473	20801437	964
11112	AT5G51160	20792073	20793841	1768
11113	AT5G51170	20793794	20795399	1605
11114	AT5G51180	20796950	20801479	4529
11115	AT5G51195	20803106	20804268	1162
11116	AT5G51200	20804715	20819629	14914
11117	AT5G51220	20821040	20823411	2371
11118	AT5G51250	20830743	20831849	1106
11119	AT5G51260	20831984	20833817	1833
11120	AT5G51270	20834899	20839061	4162
11121	AT5G51280	20841239	20843992	2753
11122	AT5G51300	20848794	20852384	3590
11123	AT5G51310	20852712	20854812	2100
11124	AT5G51350	20867599	20870848	3249
11125	AT5G51340	20862902	20867465	4563
11126	AT5G51360	20871918	20872277	359
11127	AT5G51370	20872719	20874349	1630
11128	AT5G51380	20875832	20877989	2157
11129	AT5G51390	20877967	20878464	497
11130	AT5G51410	20880558	20883908	3350
11131	AT5G51420	20885419	20886762	1343
11132	AT5G51440	20891163	20892416	1253
11133	AT5G51460	20900859	20904647	3788
11134	AT5G51465	20904578	20905568	990
11135	AT5G51470	20907195	20909533	2338
11136	AT5G51490	20913510	20915879	2369
11137	AT5G51500	20917795	20919964	2169
11138	AT5G51510	20921377	20922998	1621
11139	AT5G51520	20925852	20926783	931
11140	AT5G51530	20927069	20931886	4817
11141	AT5G51540	20932031	20936413	4382
11142	AT5G51560	20945676	20948939	3263
11143	AT5G51570	20949291	20951512	2221
11144	AT5G51580	20952442	20953399	957
11145	AT5G51590	20956510	20959409	2899
11146	AT5G51610	20965577	20966805	1228
11147	AT5G51620	20967034	20968506	1472
11148	AT5G51630	20969128	20975940	6812
11149	AT5G51650	20978203	20979249	1046
11150	AT5G51670	20993424	20995644	2220
11151	AT5G51730	21011392	21013747	2355
11152	AT5G51740	21016841	21019221	2380
11153	AT5G51770	21030943	21033253	2310
11154	AT5G51780	21034626	21036773	2147
11155	AT5G51790	21039533	21041618	2085
11156	AT5G51795	21043083	21044194	1111
11157	AT5G51800	21048191	21052069	3878
11158	AT5G51830	21069110	21071739	2629
11159	AT5G51840	21071944	21074662	2718
11160	AT5G51845	21077047	21077679	632
11161	AT5G51880	21089383	21091073	1690
11162	AT5G51890	21090956	21092410	1454
11163	AT5G51900	21093681	21094454	773
11164	AT5G51910	21094547	21095891	1344
11165	AT5G51930	21101116	21103818	2702
11166	AT5G51950	21105909	21108710	2801
11167	AT5G51960	21110333	21111424	1091
11168	AT5G51970	21111445	21113403	1958
11169	AT5G51980	21113361	21116314	2953
11170	AT5G52000	21118946	21121119	2173
11171	AT5G52010	21121405	21123133	1728
11172	AT5G52030	21128085	21130244	2159
11173	AT5G52040	21130320	21133709	3389
11174	AT5G52045	21131045	21131700	655
11175	AT5G52050	21138703	21140876	2173
11176	AT5G52080	21167243	21167350	107
11177	AT5G52090	21167432	21169462	2030
11178	AT5G52115	21174321	21175857	1536
11179	AT5G52130	21182468	21183875	1407
11180	AT5G52140	21184522	21186872	2350
11181	AT5G52150	21189988	21191303	1315
11182	AT5G52155	21192097	21194086	1989
11183	AT5G52160	21195044	21195763	719
11184	AT5G52180	21200040	21201610	1570
11185	AT5G52190	21201631	21202543	912
11186	AT5G52220	21207097	21207716	619
11187	AT5G52280	21226721	21230378	3657
11188	AT5G52330	21247355	21250426	3071
11189	AT5G52370	21260278	21261336	1058
11190	AT5G52410	21275889	21279522	3633
11191	AT5G52420	21281569	21282806	1237
11192	AT5G52430	21282750	21285366	2616
11193	AT5G52450	21288850	21291928	3078
11194	AT5G52480	21296833	21297858	1025
11195	AT5G52490	21298857	21300239	1382
11196	AT5G52530	21317130	21321267	4137
11197	AT5G52540	21321428	21323780	2352
11198	AT5G52550	21327712	21330136	2424
11199	AT5G52580	21337861	21343051	5190
11200	AT5G52650	21355541	21357219	1678
11201	AT5G52655	21357752	21358250	498
11202	AT5G52660	21359001	21362273	3272
11203	AT5G52670	21363486	21364401	915
11204	AT5G52690	21370499	21371592	1093
11205	AT5G52700	21372820	21374195	1375
11206	AT5G52710	21375704	21378172	2468
11207	AT5G52720	21378702	21379744	1042
11208	AT5G52730	21380164	21381069	905
11209	AT5G52740	21382482	21383432	950
11210	AT5G52750	21383979	21385015	1036
11211	AT5G52760	21386727	21387714	987
11212	AT5G52790	21391566	21395016	3450
11213	AT5G52800	21395944	21399419	3475
11214	AT5G52810	21399331	21400686	1355
11215	AT5G52820	21401312	21404470	3158
11216	AT5G52840	21413591	21415006	1415
11217	AT5G52850	21414935	21417616	2681
11218	AT5G52880	21431778	21433794	2016
11219	AT5G52882	21433859	21439133	5274
11220	AT5G52890	21444793	21447242	2449
11221	AT5G52930	21470299	21471861	1562
11222	AT5G52940	21472103	21473602	1499
11223	AT5G52965	21478841	21479203	362
11224	AT5G52970	21479382	21481256	1874
11225	AT5G52975	21481457	21482038	581
11226	AT5G53010	21488490	21496537	8047
11227	AT5G53020	21498379	21502500	4121
11228	AT5G53030	21505074	21506620	1546
11229	AT5G53045	21508341	21509609	1268
11230	AT5G53050	21510095	21513620	3525
11231	AT5G53070	21518593	21520421	1828
11232	AT5G53080	21520513	21523266	2753
11233	AT5G53090	21523365	21525713	2348
11234	AT5G53100	21526250	21528323	2073
11235	AT5G53110	21528950	21533159	4209
11236	AT5G53140	21548397	21552594	4197
11237	AT5G53150	21553355	21557592	4237
11238	AT5G53220	21595990	21598316	2326
11239	AT5G53310	21634424	21636355	1931
11240	AT5G53320	21636241	21638398	2157
11241	AT5G53330	21639216	21640963	1747
11242	AT5G53340	21640809	21643666	2857
11243	AT5G53360	21647821	21649567	1746
11244	AT5G53380	21654585	21656722	2137
11245	AT5G53390	21656734	21659367	2633
11246	AT5G53410	21667939	21668046	107
11247	AT5G53420	21673432	21675803	2371
11248	AT5G53430	21677146	21684122	6976
11249	AT5G53440	21683144	21688273	5129
11250	AT5G53480	21713245	21717878	4633
11251	AT5G53486	21721667	21722838	1171
11252	AT5G53490	21723235	21724701	1466
11253	AT5G53500	21725441	21729413	3972
11254	AT5G53540	21749279	21751338	2059
11255	AT5G53570	21760558	21763462	2904
11256	AT5G53590	21771811	21772794	983
11257	AT5G53592	21773688	21774927	1239
11258	AT5G53600	21777107	21777523	416
11259	AT5G53610	21779023	21779499	476
11260	AT5G53620	21780947	21785287	4340
11261	AT5G53635	21785999	21787444	1445
11262	AT5G53637	21788265	21789152	887
11263	AT5G53640	21789919	21790690	771
11264	AT5G53650	21791155	21792556	1401
11265	AT5G53710	21805071	21805812	741
11266	AT5G53720	21806622	21807012	390
11267	AT5G53730	21807623	21809004	1381
11268	AT5G53740	21811633	21814908	3275
11269	AT5G53742	21813671	21814018	347
11270	AT5G53760	21822323	21826488	4165
11271	AT5G53770	21826656	21830091	3435
11272	AT5G53780	21839818	21841977	2159
11273	AT5G53790	21843501	21845261	1760
11274	AT5G53800	21848035	21850111	2076
11275	AT5G53810	21850141	21853011	2870
11276	AT5G53820	21853348	21854117	769
11277	AT5G53830	21856948	21858102	1154
11278	AT5G53840	21859148	21860672	1524
11279	AT5G53850	21860860	21865150	4290
11280	AT5G53880	21872701	21873454	753
11281	AT5G53895	21880592	21881204	612
11282	AT5G53900	21881142	21883433	2291
11283	AT5G53905	21888148	21889254	1106
11284	AT5G53910	21890643	21891335	692
11285	AT5G53920	21891983	21894267	2284
11286	AT5G53930	21894232	21896434	2202
11287	AT5G53940	21896987	21898631	1644
11288	AT5G54062	21938793	21939637	844
11289	AT5G53990	21915468	21917225	1757
11290	AT5G54030	21925460	21927524	2064
11291	AT5G54035	21926239	21926496	257
11292	AT5G54043	21929588	21929845	257
11293	AT5G54050	21933601	21936053	2452
11294	AT5G54090	21948124	21952594	4470
11295	AT5G54095	21952647	21953507	860
11296	AT5G54100	21953700	21956580	2880
11297	AT5G54130	21962570	21965623	3053
11298	AT5G54140	21965667	21968061	2394
11299	AT5G54145	21972444	21973441	997
11300	AT5G54148	21975785	21977104	1319
11301	AT5G54150	21977461	21978237	776
11302	AT5G54165	21984569	21984964	395
11303	AT5G54190	21990864	21992814	1950
11304	AT5G54200	21993154	21997326	4172
11305	AT5G54210	22008612	22009532	920
11306	AT5G54215	22010062	22010508	446
11307	AT5G54220	22011297	22011796	499
11308	AT5G54240	22022978	22024658	1680
11309	AT5G54300	22053969	22055443	1474
11310	AT5G54290	22051034	22054028	2994
11311	AT5G54320	22062805	22063914	1109
11312	AT5G54330	22064993	22066063	1070
11313	AT5G54340	22066831	22067565	734
11314	AT5G54430	22096920	22099851	2931
11315	AT5G54400	22090417	22092165	1748
11316	AT5G54410	22094247	22094906	659
11317	AT5G54450	22108273	22109379	1106
11318	AT5G54460	22110425	22110949	524
11319	AT5G54480	22118004	22120166	2162
11320	AT5G54520	22146504	22149302	2798
11321	AT5G54530	22152724	22154466	1742
11322	AT5G54580	22171166	22173019	1853
11323	AT5G54585	22175461	22176735	1274
11324	AT5G54620	22187663	22189746	2083
11325	AT5G54630	22192367	22194559	2192
11326	AT5G54700	22222886	22225616	2730
11327	AT5G54710	22227483	22230663	3180
11328	AT5G54750	22241478	22243721	2243
11329	AT5G54760	22243800	22245810	2010
11330	AT5G54780	22248369	22252191	3822
11331	AT5G54790	22253986	22255663	1677
11332	AT5G54800	22261134	22263936	2802
11333	AT5G54820	22269859	22271777	1918
11334	AT5G54830	22272989	22276346	3357
11335	AT5G54850	22280490	22282682	2192
11336	AT5G54855	22282766	22284391	1625
11337	AT5G54860	22284425	22287206	2781
11338	AT5G54870	22289104	22291859	2755
11339	AT5G54880	22291860	22293300	1440
11340	AT5G54890	22293325	22295144	1819
11341	AT5G54910	22298453	22301859	3406
11342	AT5G54920	22302000	22305795	3795
11343	AT5G54930	22305733	22307569	1836
11344	AT5G54940	22307982	22309453	1471
11345	AT5G54950	22309832	22310332	500
11346	AT5G54970	22312976	22314119	1143
11347	AT5G54980	22315634	22316935	1301
11348	AT5G54990	22317461	22318185	724
11349	AT5G55010	22321828	22322335	507
11350	AT5G55040	22326940	22332078	5138
11351	AT5G55050	22337626	22340389	2763
11352	AT5G55060	22341750	22346646	4896
11353	AT5G55070	22347211	22351168	3957
